pais,poblacion,pib_per_capita,idh
Afganistán,38928341,454,0.511
Albania,2829741,5455,0.795
Alemania,83155031,42920,0.947
Andorra,78000,35398,0.868
Angola,32866268,1555,0.581
Antigua y Barbuda,97928,12251,0.778
Arabia Saudita,35013000,20126,0.854
Argelia,43851043,2954,0.748
Argentina,45376763,7524,0.845
Armenia,2963251,3973,0.776
Australia,25684000,53759,0.944
Austria,8932664,45040,0.922
Azerbaiyán,10119133,4563,0.756
Bahamas,393248,22108,0.814
Bangladés,164689000,1721,0.632
Barbados,287371,13460,0.814
Baréin,1487000,20696,0.852
Bélgica,11554767,43770,0.931
Belice,430000,3318,0.716
Benín,12123198,1134,0.545
Bielorrusia,9410000,5717,0.823
Birmania - Myanmar,54409794,1310,0.583
Bolivia,11673029,2774,0.718
Bosnia y Herzegovina,3280815,5817,0.780
Botsuana,2352000,5571,0.735
Brasil,212559409,5980,0.765
Brunéi,443000,23752,0.838
Bulgaria,6916548,9850,0.816
Burkina Faso,20903278,729,0.452
Burundi,11890781,209,0.433
Bután,753000,2692,0.654
Cabo Verde,555988,2694,0.665
Camboya,16718971,1322,0.594
Camerún,26545864,1351,0.563
Canadá,38246108,44026,0.929
Catar,2684000,47206,0.848
Chad,16425859,577,0.398
Chequia,10701777,22320,0.900
Chile,19458000,13767,0.851
China,1412120000,10451,0.761
Chipre,896007,26030,0.887
Colombia,51049000,5204,0.767
Comoras,869595,1244,0.554
Corea del Norte,25778815,604,
Corea del Sur,51781000,29363,0.916
Costa de Marfil,26378275,2036,0.538
Costa Rica,5180000,10490,0.810
Croacia,4036355,14710,0.851
Cuba,11326616,8298,0.783
Dinamarca,5840045,57350,0.940
Dominica,71991,6132,0.742
Ecuador,17511000,5125,0.759
Egipto,100600000,3385,0.707
El Salvador,6486201,3333,0.673
Emiratos Árabes Unidos,9282000,33924,0.890
Eritrea,5068831,335,0.459
Eslovaquia,5459781,17820,0.860
Eslovenia,2108977,24680,0.917
España,47326687,25460,0.904
Estados Federados de Micronesia,115021,3121,0.620
Estados Unidos,332183000,58527,0.926
Estonia,1330068,23060,0.892
Etiopía,99701000,842,0.485
Filipinas,110200000,3020,0.718
Finlandia,5533793,45620,0.938
Fiyi,896444,4477,0.743
Francia,67656682,36520,0.901
Gabón,2225728,6047,0.703
Gambia,2416664,664,0.496
Georgia,3729000,4239,0.812
Ghana,31072945,1930,0.611
Granada,113000,8137,0.779
Grecia,10678632,17140,0.888
Guatemala,17974000,4031,0.663
Guinea,13132792,1045,0.477
Guinea Ecuatorial,1402985,6268,0.592
Guinea-Bisáu,1967998,637,0.480
Guyana,786559,8181,0.682
Haiti,11402533,1558,0.510
Honduras,10117000,2358,0.634
Hungría,9730772,15870,0.854
India,1380004385,1863,0.645
Indonesia,272249000,3683,0.718
Irak,40222503,3697,0.674
Irán,84139000,14189,0.783
Irlanda,5006324,83990,0.955
Islandia,368792,58010,0.949
Islas Marshall,59194,3617,0.704
Islas Salomón,686878,1970,0.567
Israel,9367000,43466,0.919
Italia,59236213,30040,0.892
Jamaica,2961161,4139,0.734
Japón,125836021,33157,0.919
Jordania,10203140,3763,0.729
Kazajistán,19126000,7953,0.825
Kenia,53771300,1653,0.601
Kirguistán,6591600,1095,0.697
Kiribati,119000,1333,0.630
Kuwait,4671000,19904,0.806
Laos,7276000,2234,0.613
Lesoto,2142252,844,0.527
Letonia,1893223,17450,0.866
Líbano,6825442,9910,0.744
Liberia,5057677,554,0.480
Libia,6871287,2453,0.724
Liechtenstein,39055,136000,0.919
Lituania,2795680,19760,0.882
Luxemburgo,634730,114370,0.916
Macedonia del Norte,2068808,5676,0.774
Madagascar,27691019,413,0.528
Malasia,32584000,9671,0.810
Malaui,19129955,543,0.483
Maldivas,540542,6065,0.740
Malí,20250834,755,0.434
Malta,516100,27930,0.895
Marruecos,36910558,2727,0.686
Mauricio,1265740,7571,0.804
Mauritania,4649660,1531,0.546
México,127792000,8566,0.779
Moldavia,2620495,4411,0.750
Mónaco,39244,170176,
Mongolia,3358000,3801,0.737
Montenegro,620739,7913,0.829
Mozambique,31255435,394,0.456
Namibia,2504000,3720,0.646
Nauru,10834,9538,
Nepal,29136808,1023,0.602
Nicaragua,6496000,1705,0.660
Níger,24206636,499,0.394
Nigeria,206139587,1828,0.539
Noruega,5391369,75400,0.957
Nueva Zelanda,5115000,40937,0.931
Omán,4445000,14223,0.813
Países Bajos,17475415,49090,0.944
Pakistán,222590000,1321,0.557
Palaos,17000,12973,0.826
Panamá,4279000,11070,0.815
Papúa Nueva Guinea,8947027,2419,0.555
Paraguay,7353000,4287,0.728
Perú,32625948,5823,0.777
Polonia,37840001,15050,0.880
Portugal,10298252,20530,0.864
Reino Unido,67025542,40216,0.932
República Centroafricana,4829764,431,0.397
República del Congo,4682000,1905,0.574
República Democrática del Congo,90794000,471,0.480
República Dominicana,10847904,7381,0.756
Ruanda,12952209,699,0.543
Rumanía,19201662,12510,0.828
Rusia,145558000,10312,0.824
Samoa,198000,3364,0.715
San Cristóbal y Nieves,53192,16183,0.779
San Marino,34805,40049,
San Vicente y las Granadinas,110947,6897,0.738
Santa Lucía,183629,7727,0.759
Santo Tomé y Príncipe,219161,1910,0.625
Senegal,16744000,1289,0.512
Serbia,6871547,7780,0.806
Seychelles,98462,10712,0.796
Sierra Leona,7976985,446,0.452
Singapur,5454000,61539,0.938
Siria,17500657,1192,0.567
Somalia,15893219,385,
Sri Lanka,21919000,3230,0.782
Suazilandia,1160164,3006,0.611
Sudáfrica,60143000,5876,0.709
Sudán,43849269,426,0.510
Sudán del Sur,11193729,360,0.433
Suecia,10379295,50910,0.945
Suiza,8670300,78910,0.955
Surinam,603000,4200,0.738
Tailandia,69800000,6289,0.777
Tanzania,59734213,995,0.529
Tayikistán,9537642,748,0.668
Timor Oriental,1318442,1263,0.606
Togo,8285000,803,0.515
Tonga,100000,4329,0.725
Trinidad y Tobago,1399491,13413,0.796
Túnez,11818618,3156,0.740
Turkmenistán,6031187,7738,0.715
Turquía,84680000,8054,0.820
Tuvalu,11792,3638,
Ucrania,41418717,3291,0.779
Uganda,42460000,797,0.544
Uruguay,3473727,13530,0.817
Uzbekistán,34559000,1693,0.720
Vanuatu,302000,2555,0.609
Venezuela,28435943,2886,0.711
Vietnam,97338583,3092,0.704
Yemen,29825968,554,0.470
Yibuti,1002000,2999,0.524
Zambia,18383956,864,0.584
Zimbabue,14862927,1063,0.571